drama_id,drama_type,video_num,last_num_position,drama_cover_url,drama_name,drama_desc
87,0,98,98,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649461328490498_new_17308155985009098.jpg,都市之神医下山," 《都市之神医下山》是一部充满都市传奇色彩的剧集，共98集。该剧讲述了医术高超的神医林东，因缘际会之下离开深山老林，踏入繁华都市的故事。林东一身白衣如雪，面如冠玉，眼如星辰，他不仅医术精湛，更有一颗济世救人的心。在都市中，林东迅速以其高超的医术赢得了人们的尊敬和信赖，从富商巨贾到普通百姓，无不赞叹。然而，都市生活并非一片坦途，林东不仅要面对各种复杂疾病的挑战，还要应对都市中复杂的人际关系。在这个过程中，他展现了非凡的智慧和勇气，克服重重困难，赢得了更多人的尊重和信任。

剧情紧凑，节奏明快，每一集都充满了紧张感和悬念。同时，剧中人物形象鲜明，主角们各有特色，性格鲜明，令人印象深刻。此外，特效制作精良，画面唯美，音效震撼人心，为观众带来了一场视觉和听觉的盛宴。随着剧情的深入，林东在都市中还遇到了一位美丽的女主角，两人之间产生了深厚的感情。都市的复杂性和现实的残酷性，让他们的感情之路充满了波折和考验。但林东凭借坚定的信念和高尚的医德，最终赢得了女主角的心，并共同书写了一段都市传奇。整部剧集充满了正能量，传递了勇敢面对挑战、济世救人的积极信息。"
9,0,87,87,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649462750359554_new_1730815355941137.jpg,夫人出院，禁欲慕爷失控了, 《夫人出院，禁欲慕爷失控了》是一部国产剧，共87集。剧情讲述了沈听晚在被妹妹下药出卖后，意图毁她清白的故事。在经历了暴打渣男的事件后，沈听晚被沈家关入精神病院，而她的男友慕祈年却毫无作为，眼睁睁看着她受苦。出院后，沈听晚决定开始她的复仇，教训那些曾经伤害她的人。
27,0,79,79,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649463824101378_new_1730815465283556.jpg,特种奶爸开局萌娃带我去相亲, 《特种奶爸开局萌娃带我去相亲》是一部中国大陆的短剧，主要讲述了楚峰这位曾经的战区百万儿影武者心中的王者，在经历了惊天一战后失去了心爱的女人，心如死灰，自封实力，成为了一个奶爸。一天，他和女儿小七在外玩耍时偶遇帝豪集团总裁李雪烟，由于一系列的误会和巧合，两人直接领证结婚。楚峰成为了李雪烟的丈夫兼保镖，卷入了一系列的纷争和危险之中。他们不仅要面对龙家的敌对和绑架，还要应对来自暗影组织的全球悬赏令。在楚峰的带领下，他们平息了帝豪集团的暴乱篡位，但危险和麻烦并未完全解除。
13,0,97,97,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-08/768x1536_output_video_1853642745066196993_17310719258322287.jpg,如此神秘的她," 《如此神秘的她》是一部共97集的电视剧，剧情主要讲述了女主角沈溪的故事。在母亲的眼中，沈溪的唯一价值似乎只在于她能够作为彩礼换取的经济利益。在一次相亲中，沈溪意外地遇到了陈川，两人在冒昧之下匆匆领取了结婚证。陈川并没有向沈溪透露自己的真实身份，两人开始了平淡却温馨的小日子。

然而，沈溪的生活并非一帆风顺。她遭到了两位中学同学的欺凌，甚至被一位女同学的丈夫无理骚扰。这位女同学性格恶毒、刁蛮，她恶意诬陷沈溪与校领导有不正当关系，导致沈溪失去了工作。

在沈溪陷入困境之际，陈川的真实身份被沈溪的女同学罗研娜意外得知。身为女演员的罗研娜收入丰厚，为了破坏陈川与沈溪的婚姻，她不惜花费巨额资金聘请演员制造误会，企图自己上位，嫁给首富陈川。

直到最后，陈川才惊觉沈溪竟然是他五年前在美国一夜情的对象，两人当时甚至在美国匆匆结婚。如今，两人终于走到了一起，经历了种种波折后终成眷属。这个故事虽然充满戏剧性，但也让人感受到了生活中的趣味。创作总是源于生活，却又高于生活，让人回味无穷。"
94,0,100,100,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-07/768x1536_output_video_1853642746002714625_17310128260549014.jpg,病娇王爷彪悍妻, 《病娇王爷彪悍妻》是一部古装权斗类型的短剧，讲述了一位王爷与他强大妻子之间的故事。剧中呈现了一个女强男弱的情节设定，王爷对女主言听计从，十分可爱。女主角是一位21世纪的中医博士，意外穿越到古代，成为了即将嫁给皇族的嫡女，并被卷入了复杂的权力斗争。面对生死攸关的挑战，她表现得异常冷静，甚至在被迫服下避子汤时还能笑得很开心。她不仅战斗力极强，怼人毫不手软，还擅长吐槽，是一位医学值和武力值都爆表的王妃。剧情中，女主角需要帮助男主解毒，并让男主保护自己，展现了她在古代逍遥自在地生活，并摆脱男主和家庭束缚的主要目标。
21,0,94,94,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649467427008513_new_17308154081775544.jpg,琅琊, 《琅琊》是一部网络短剧，由沈月辉和林辰主演。该剧讲述了林辰饰演的角色原本是一个家破人亡的孤儿，打算窝窝囊囊过完一生，但经历了被妻子杨若兮逐出家门的打击后，他选择做出了改变。 剧情中，林辰饰演的角色在出国3年后准备回国给老婆一个惊喜，却没想到一下飞机就收到了妻子的离婚协议，并且遭到了妻子的百般羞辱。妻子声称自己在短短两年时间内将集团打造成市值百亿的顶流家族，而林辰则一事无成。然而，事实上林辰是万人之上的琅琊王，全市最大的荆门集团还要对他投资千亿，预示着他即将一飞冲天。
68,0,70,70,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649468525916162_new_173081524581779.jpg,龙生九子, 《龙生九子》是一部融合了奇幻、冒险与亲情元素的网络短剧。剧情主要讲述了没落的护龙一族最后血脉封易凡，意外吞下了祖传秘宝九龙混天珠，诞下天赋异禀的九个孩子。这九个孩子自出生便能言语，且各具神通。然而，这一奇迹也引来了多方邪恶势力的觊觎，企图夺取九子以求永生。面对重重危机，封易凡携九子踏上逃亡之旅。途中，他们经历了生离死别，但也收获了成长与友情。九子在旅途中逐渐明白自己存在的责任与使命，学会了团结协作，共同对抗外敌。最终，在一系列惊心动魄的冒险后，九子不仅守护了家族的秘密，也保护了人间的和平与安宁。
10,0,96,96,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-08/768x1536_output_video_1853642749125521410_17310764709255857.jpg,萌宝助攻，嫁给前男友小叔, 《萌宝助攻，嫁给前男友小叔》是一部2024年在中国大陆火爆的甜宠短剧，共96集。该剧以其紧凑的剧情和原著精髓的紧密跟随而受到观众的喜爱。 这部剧讲述了一个关于爱情、家庭和亲情的故事，通过萌宝的助攻，展现了主角们在面对前男友和家庭关系时的复杂情感和抉择。 它以其未删减版和高清全集的流畅观看体验，为观众提供了一个紧张刺激的观剧体验。
92,0,86,86,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649470967001090_new_17308155246514277.jpg,四个大佬哥哥重生以后狂宠我, 《四个大佬哥哥重生以后狂宠我》是一部中国大陆的网络短剧，主要讲述了女主角迟夏的故事。迟夏有着四个大佬哥哥，大哥是陆家家主，二哥是顶流影帝，三哥是知名律师。迟夏小时候走丢，被孤儿院长大，后来被狠心的养母一家收养。在一次意外中，迟夏为了救人失去了生命，却因此重生。重生后的她，面对曾经对她冷淡的哥哥们，以及心机深沉的养女陆潇潇，展开了新的生活。陆家破产后，养女陆潇潇卷钱跑路，而迟夏却对三个哥哥不离不弃，三个哥哥也逐渐意识到迟夏才是真正对他们好的人。迟夏一人打多份工照顾着三个哥哥，三个哥哥也重整旗鼓东山再起。这部剧充满了欢乐和温情，展现了家庭温暖和爱的力量。
59,0,82,82,https://hobby-suanfa.hobby666.com/hobby_video_production/diffutoon/uat/2024-11-05/768x1536_output_video_1852649471990411265_new_17308153017683897.jpg,我有三个大佬哥哥, 网络短剧《我有三个大佬哥哥》是一部集爱情、家庭与成长于一体的作品，全剧共82集。该剧主要围绕女主角与她三位身份显赫却性格迥异的大佬哥哥之间的故事展开。女主角出身平凡，却幸运地拥有三位对她宠爱有加的哥哥，这三位哥哥各自在商界、政界及娱乐界拥有举足轻重的地位。女主角在哥哥们的庇护下成长，但同时也渴望独立与自我实现。剧中，女主角经历了一系列挑战与误会，从最初对哥哥们过度保护的抗拒，到逐渐理解并珍惜这份亲情。特别是当家族企业遭遇危机时，女主角展现出了非凡的勇气与智慧，与哥哥们并肩作战，共同克服难关。第82集作为全剧的高潮与收尾，展现了女主角在经历一系列成长后，不仅成功帮助家族企业转危为安，还收获了属于自己的爱情与事业。她与哥哥们之间的情感更加深厚，彼此间的理解与支持成为了他们最坚实的后盾。最终，一家人其乐融融，共同迎来了新的生活篇章，传递出温暖人心的正能量。
